participant,blocknum,blockcode,trialnum,trialcode,response,correct,latency,stimuli,Condition,block.type,block
4,10,Lattebad,2,goodright,23,1,1282,stupendo,DGMB,practice,practiceMilkBad
4,10,Lattebad,4,fondenteright,23,1,1299,fond3,DGMB,practice,practiceMilkBad
4,10,Lattebad,6,goodright,23,1,1435,meraviglioso,DGMB,practice,practiceMilkBad
4,10,Lattebad,8,fondenteright,23,1,1089,fond4,DGMB,practice,practiceMilkBad
4,10,Lattebad,10,goodright,23,1,967,ridere,DGMB,practice,practiceMilkBad
4,10,Lattebad,12,fondenteright,23,1,648,fond5,DGMB,practice,practiceMilkBad
4,10,Lattebad,14,goodright,23,1,967,eccellente,DGMB,practice,practiceMilkBad
4,10,Lattebad,16,fondenteright,23,1,615,fond2,DGMB,practice,practiceMilkBad
4,10,Lattebad,18,goodright,23,1,729,pace,DGMB,practice,practiceMilkBad
4,10,Lattebad,20,latteleft,18,1,642,latte7,DGMB,practice,practiceMilkBad
4,10,Lattebad,22,goodright,23,1,763,piacere,DGMB,practice,practiceMilkBad
4,10,Lattebad,24,latteleft,18,1,1288,latte3,DGMB,practice,practiceMilkBad
4,10,Lattebad,26,badleft,18,1,1006,disastro,DGMB,practice,practiceMilkBad
4,10,Lattebad,28,fondenteright,23,1,838,fond7,DGMB,practice,practiceMilkBad
4,10,Lattebad,30,badleft,18,1,1013,fastidioso,DGMB,practice,practiceMilkBad
4,10,Lattebad,32,latteleft,18,1,1414,latte6,DGMB,practice,practiceMilkBad
4,10,Lattebad,34,goodright,23,1,1542,gioia,DGMB,practice,practiceMilkBad
4,10,Lattebad,36,latteleft,18,1,1265,latte1,DGMB,practice,practiceMilkBad
4,10,Lattebad,38,goodright,23,1,924,felicità,DGMB,practice,practiceMilkBad
4,10,Lattebad,40,fondenteright,23,1,1674,fond1,DGMB,practice,practiceMilkBad
4,10,Lattebad,43,fondenteright,23,1,1161,fond6,DGMB,test,testMilkBad
4,10,Lattebad,45,goodright,23,1,1088,bello,DGMB,test,testMilkBad
4,10,Lattebad,47,latteleft,18,1,1400,latte5,DGMB,test,testMilkBad
4,10,Lattebad,49,badleft,18,1,990,dolore,DGMB,test,testMilkBad
4,10,Lattebad,51,latteleft,18,1,2369,latte4,DGMB,test,testMilkBad
4,10,Lattebad,53,badleft,18,1,886,agonia,DGMB,test,testMilkBad
4,10,Lattebad,55,latteleft,18,1,790,latte2,DGMB,test,testMilkBad
4,10,Lattebad,57,goodright,23,1,963,amore,DGMB,test,testMilkBad
4,10,Lattebad,59,latteleft,18,1,889,latte6,DGMB,test,testMilkBad
4,10,Lattebad,61,goodright,23,1,1215,gloria,DGMB,test,testMilkBad
4,10,Lattebad,63,latteleft,18,1,776,latte2,DGMB,test,testMilkBad
4,10,Lattebad,65,badleft,18,1,1089,nocivo,DGMB,test,testMilkBad
4,10,Lattebad,67,latteleft,18,1,866,latte7,DGMB,test,testMilkBad
4,10,Lattebad,69,badleft,18,1,1134,fallimento,DGMB,test,testMilkBad
