"participant","block","trial","correct","latency"
4,"test.sc_dark.Darkbad","darkleft",1,461
4,"test.sc_dark.Darkbad","badleft",1,1495
4,"test.sc_dark.Darkbad","darkleft",1,639
4,"test.sc_dark.Darkbad","badleft",1,573
4,"test.sc_dark.Darkbad","goodright",1,671
4,"test.sc_dark.Darkbad","badleft",1,643
4,"test.sc_dark.Darkbad","darkleft",1,714
4,"test.sc_dark.Darkbad","goodright",1,1190
4,"test.sc_dark.Darkbad","darkleft",1,625
4,"test.sc_dark.Darkbad","darkleft",1,517
4,"test.sc_dark.Darkbad","goodright",1,700
4,"test.sc_dark.Darkbad","goodright",1,950
4,"test.sc_dark.Darkbad","badleft",1,617
4,"test.sc_dark.Darkbad","darkleft",0,834
4,"test.sc_dark.Darkbad","darkleft",1,737
4,"test.sc_dark.Darkbad","darkleft",1,474
4,"test.sc_dark.Darkbad","goodright",1,727
4,"test.sc_dark.Darkbad","badleft",1,853
4,"test.sc_dark.Darkbad","badleft",1,991
4,"test.sc_dark.Darkbad","badleft",1,674
4,"test.sc_dark.Darkbad","goodright",1,678
4,"test.sc_dark.Darkbad","badleft",1,717
4,"test.sc_dark.Darkbad","darkleft",1,692
4,"test.sc_dark.Darkbad","goodright",1,645
4,"test.sc_dark.Darkbad","goodright",1,1508
4,"test.sc_dark.Darkbad","badleft",1,615
4,"test.sc_dark.Darkbad","darkleft",0,1056
4,"test.sc_dark.Darkbad","badleft",1,1305
4,"test.sc_dark.Darkbad","goodright",1,852
4,"test.sc_dark.Darkbad","goodright",1,1509
4,"test.sc_dark.Darkbad","goodright",1,2824
4,"test.sc_dark.Darkbad","darkleft",1,688
4,"test.sc_dark.Darkbad","badleft",1,615
4,"test.sc_dark.Darkbad","badleft",1,625
4,"test.sc_dark.Darkbad","goodright",1,813
4,"test.sc_dark.Darkbad","goodright",1,862
4,"test.sc_dark.Darkbad","goodright",1,631
4,"test.sc_dark.Darkbad","goodright",1,691
4,"test.sc_dark.Darkbad","goodright",1,861
4,"test.sc_dark.Darkbad","badleft",1,606
4,"test.sc_dark.Darkbad","goodright",1,629
